id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,classification
DTCMC_1_1_ssu,0.076,0.057,0.057,0.114,0.104,0.038,0.0,0.038,0.095,0.047,0.0,0.038,0.038,0.038,0.114,0.123,0.0083,0.0079,0.0071,2.1.1.2
DTCMC_2_1_ssu,0.103,0.05,0.069,0.111,0.079,0.019,0.008,0.021,0.069,0.011,0.045,0.066,0.079,0.048,0.069,0.13,0.0079,0.0079,0.0076,2.1.1.2
DTCMC_3_1_ssu,0.088,0.018,0.057,0.143,0.046,0.016,0.006,0.019,0.057,0.015,0.037,0.068,0.115,0.039,0.079,0.174,0.0083,0.0078,0.0081,2.1.1.2
DTCMC_4_1_ssu,0.113,0.046,0.051,0.106,0.057,0.018,0.017,0.04,0.058,0.025,0.044,0.05,0.088,0.043,0.065,0.155,0.0078,0.008,0.008,2.1.1.2
DTCMC_5_1_ssu,0.123,0.051,0.041,0.118,0.071,0.028,0.007,0.062,0.043,0.016,0.023,0.049,0.095,0.072,0.061,0.116,0.008,0.0078,0.0081,2.1.1.2
DTMULE_1_1_ssu,0.095,0.046,0.08,0.089,0.072,0.024,0.009,0.054,0.083,0.042,0.052,0.05,0.061,0.048,0.084,0.087,0.0081,0.0085,0.0078,2.1.1.4
DTPIF-Harbinger_1_1_ssu,0.075,0.048,0.058,0.075,0.085,0.055,0.003,0.075,0.044,0.051,0.02,0.038,0.048,0.065,0.072,0.164,0.0079,0.0084,0.0081,2.1.1.7
DTPIF-Harbinger_2_1_ssu,0.129,0.048,0.043,0.112,0.064,0.024,0.007,0.059,0.055,0.027,0.022,0.038,0.083,0.055,0.069,0.14,0.0079,0.0081,0.0077,2.1.1.7
DTPIF-Harbinger_3_1_ssu,0.123,0.039,0.064,0.086,0.054,0.017,0.028,0.043,0.075,0.039,0.058,0.06,0.059,0.047,0.082,0.101,0.008,0.0084,0.008,2.1.1.7
DTPIF-Harbinger?_1_1_ssu,0.122,0.036,0.022,0.108,0.049,0.032,0.01,0.048,0.04,0.014,0.028,0.03,0.077,0.056,0.052,0.254,0.0069,0.0076,0.0073,2.1.1.7
