id,1,2,3,4,5,6,7,8,9,10,11,12,classification
DTCMC_1_1_mnt,0.211,0.431,0.521,0.493,0.429,0.429,0.083,0.212,-0.055,-0.055,0.489,0.499,2.1.1.2
DTCMC_2_1_mnt,0.238,0.51,0.602,0.582,0.509,0.509,0.152,0.24,-0.013,-0.013,0.578,0.588,2.1.1.2
DTMuLE_1_1_mnt,0.127,0.347,0.534,0.416,0.345,0.345,0.007,0.128,-0.059,-0.059,0.413,0.422,2.1.1.4
DTMuLE_2_1_mnt,0.15,0.338,0.544,0.452,0.337,0.337,0.082,0.149,-0.051,-0.051,0.449,0.454,2.1.1.4
DTMuLE_3_1_mnt,0.132,0.375,0.554,0.461,0.374,0.374,0.087,0.133,-0.06,-0.06,0.456,0.462,2.1.1.4
DTMuLE_4_1_mnt,0.24,0.399,0.48,0.446,0.399,0.399,0.058,0.239,-0.094,-0.094,0.442,0.45,2.1.1.4
DTMuLE_5_1_mnt,0.27,0.505,0.583,0.578,0.504,0.504,0.144,0.272,-0.015,-0.015,0.573,0.585,2.1.1.4
DTPIF-Harbinger_1_1_mnt,0.424,0.674,0.519,0.546,0.672,0.672,0.282,0.429,-0.084,-0.084,0.539,0.554,2.1.1.7
DTPIF-Harbinger_2_1_mnt,0.27,0.494,0.587,0.578,0.493,0.493,0.183,0.273,-0.022,-0.022,0.573,0.585,2.1.1.7
DTPIF-Harbinger_3_1_mnt,0.248,0.461,0.537,0.508,0.46,0.46,0.078,0.25,-0.055,-0.055,0.505,0.515,2.1.1.7
DTPIF-Harbinger_4_1_mnt,0.161,0.355,0.481,0.451,0.354,0.354,0.009,0.16,-0.057,-0.057,0.447,0.455,2.1.1.7
DTPIF-Harbinger_5_1_mnt,0.229,0.485,0.674,0.594,0.484,0.484,0.145,0.231,0.005,0.005,0.591,0.602,2.1.1.7
DTPIF-Harbinger_6_1_mnt,0.267,0.505,0.409,0.542,0.504,0.504,0.227,0.269,-0.121,-0.121,0.54,0.551,2.1.1.7
DTPIF-Harbinger_7_1_mnt,0.3,0.498,0.499,0.528,0.496,0.496,0.143,0.299,-0.064,-0.064,0.524,0.534,2.1.1.7
DTTcMar_1_1_mnt,0.625,0.246,0.614,0.235,0.249,0.249,0.169,0.604,0.154,0.154,0.237,0.239,2.1.1.8
DTUnknown_1_1_mnt,0.186,0.36,0.808,0.564,0.357,0.357,-0.324,0.188,0.335,0.335,0.554,0.559,2.1.1
DThAT_1_1_mnt,0.317,0.554,0.537,0.534,0.552,0.552,0.121,0.32,-0.063,-0.063,0.529,0.541,2.1.1.3
DThAT_1_2_mnt,0.3,0.509,0.527,0.495,0.508,0.508,0.093,0.302,-0.074,-0.074,0.49,0.501,2.1.1.3
DThAT_2_1_mnt,-0.075,0.089,0.89,0.433,0.087,0.087,-0.259,-0.077,0.337,0.337,0.426,0.436,2.1.1.3
DThAT_3_1_mnt,0.325,0.564,0.479,0.548,0.563,0.563,0.141,0.328,-0.065,-0.065,0.544,0.557,2.1.1.3
DThAT_4_1_mnt,0.349,0.523,0.47,0.532,0.522,0.522,0.129,0.349,-0.066,-0.066,0.53,0.543,2.1.1.3
DThAT_5_1_mnt,0.127,0.303,0.496,0.38,0.302,0.302,0.13,0.126,-0.059,-0.059,0.374,0.377,2.1.1.3
DHHelitron_1_1_mnt,0.439,0.749,0.665,0.719,0.748,0.748,0.37,0.445,0.022,0.022,0.714,0.731,2.1.2
DHHelitron_1_2_mnt,0.431,0.654,0.541,0.617,0.653,0.653,0.292,0.433,-0.003,-0.003,0.614,0.63,2.1.2
DHHelitron_1_3_mnt,0.385,0.669,0.678,0.696,0.668,0.668,0.299,0.389,0.02,0.02,0.692,0.707,2.1.2
DHHelitron_1_4_mnt,0.389,0.735,0.823,0.781,0.733,0.733,0.369,0.396,0.081,0.081,0.775,0.791,2.1.2
DHHelitron_1_5_mnt,0.287,0.568,0.692,0.666,0.567,0.567,0.207,0.29,0.005,0.005,0.663,0.676,2.1.2
DHHelitron_1_6_mnt,0.442,0.749,0.706,0.739,0.747,0.747,0.37,0.449,0.032,0.032,0.735,0.753,2.1.2
DHHelitron_1_7_mnt,0.295,0.574,0.658,0.625,0.572,0.572,0.214,0.299,-0.001,-0.001,0.62,0.632,2.1.2
DHHelitron_1_8_mnt,0.322,0.645,0.728,0.716,0.643,0.643,0.272,0.326,0.028,0.028,0.712,0.724,2.1.2
DHHelitron_1_9_mnt,0.626,0.753,0.565,0.621,0.754,0.754,0.275,0.628,0.046,0.046,0.619,0.636,2.1.2
DHHelitron_1_10_mnt,0.455,0.744,0.623,0.694,0.743,0.743,0.363,0.46,-0.004,-0.004,0.689,0.707,2.1.2
DHHelitron_1_11_mnt,0.354,0.621,0.65,0.645,0.619,0.619,0.268,0.357,-0.003,-0.003,0.641,0.655,2.1.2
DHHelitron_1_12_mnt,0.541,0.828,0.614,0.732,0.827,0.827,0.497,0.548,0.026,0.026,0.728,0.748,2.1.2
DHHelitron_1_13_mnt,0.45,0.761,0.713,0.748,0.76,0.76,0.372,0.456,0.031,0.031,0.743,0.761,2.1.2
DHHelitron_1_14_mnt,0.395,0.648,0.589,0.637,0.647,0.647,0.292,0.399,-0.012,-0.012,0.633,0.649,2.1.2
DHHelitron_1_15_mnt,0.497,0.819,0.659,0.773,0.818,0.818,0.417,0.504,0.037,0.037,0.769,0.789,2.1.2
DHHelitron_1_16_mnt,0.57,0.906,0.666,0.807,0.905,0.905,0.543,0.579,0.035,0.035,0.802,0.824,2.1.2
DHHelitron_1_17_mnt,0.262,0.538,0.741,0.637,0.536,0.536,0.215,0.264,0.043,0.043,0.633,0.644,2.1.2
DHHelitron_1_18_mnt,0.468,0.737,0.633,0.678,0.736,0.736,0.361,0.474,0.014,0.014,0.674,0.692,2.1.2
DHHelitron_1_19_mnt,0.358,0.631,0.617,0.657,0.63,0.63,0.225,0.362,0.002,0.002,0.653,0.667,2.1.2
DHHelitron_1_20_mnt,0.369,0.627,0.573,0.631,0.626,0.626,0.257,0.373,0.001,0.001,0.628,0.643,2.1.2
DHHelitron_1_21_mnt,0.307,0.568,0.683,0.632,0.567,0.567,0.2,0.309,0.023,0.023,0.628,0.641,2.1.2
DHHelitron_1_22_mnt,0.165,0.396,0.689,0.551,0.395,0.395,0.156,0.166,0.013,0.013,0.548,0.554,2.1.2
DHHelitron_1_23_mnt,0.469,0.733,0.608,0.674,0.732,0.732,0.344,0.474,0.003,0.003,0.67,0.688,2.1.2
DHHelitron_1_24_mnt,0.325,0.616,0.685,0.664,0.614,0.614,0.232,0.329,0.019,0.019,0.66,0.673,2.1.2
DHHelitron_1_25_mnt,0.415,0.686,0.642,0.688,0.685,0.685,0.304,0.419,0.003,0.003,0.685,0.701,2.1.2
DHHelitron_1_26_mnt,0.371,0.609,0.601,0.61,0.608,0.608,0.231,0.374,-0.011,-0.011,0.606,0.62,2.1.2
DHHelitron_1_27_mnt,0.319,0.571,0.656,0.624,0.57,0.57,0.209,0.321,0.018,0.018,0.619,0.632,2.1.2
DHHelitron_1_28_mnt,0.342,0.625,0.7,0.676,0.624,0.624,0.269,0.346,0.019,0.019,0.671,0.686,2.1.2
DHHelitron_1_29_mnt,0.38,0.678,0.703,0.71,0.676,0.676,0.313,0.384,0.037,0.037,0.706,0.721,2.1.2
DHHelitron_1_30_mnt,0.49,0.802,0.682,0.746,0.801,0.801,0.451,0.497,0.032,0.032,0.742,0.76,2.1.2
DHHelitron_1_31_mnt,0.375,0.655,0.631,0.656,0.654,0.654,0.278,0.38,-0.001,-0.001,0.652,0.666,2.1.2
DHHelitron_1_32_mnt,0.51,0.808,0.656,0.733,0.807,0.807,0.448,0.517,0.023,0.023,0.729,0.748,2.1.2
DHHelitron_1_33_mnt,0.452,0.693,0.52,0.612,0.692,0.692,0.313,0.456,-0.014,-0.014,0.607,0.622,2.1.2
DHHelitron_1_34_mnt,0.312,0.571,0.609,0.601,0.569,0.569,0.208,0.314,-0.017,-0.017,0.597,0.609,2.1.2
DHHelitron_1_35_mnt,0.29,0.559,0.806,0.684,0.558,0.558,0.206,0.292,0.07,0.07,0.68,0.692,2.1.2
DHHelitron_1_36_mnt,0.476,0.734,0.659,0.695,0.733,0.733,0.356,0.48,0.018,0.018,0.691,0.707,2.1.2
DHHelitron_1_37_mnt,0.412,0.692,0.586,0.654,0.691,0.691,0.339,0.417,-0.023,-0.023,0.649,0.665,2.1.2
DHHelitron_1_38_mnt,0.332,0.589,0.564,0.588,0.588,0.588,0.236,0.336,-0.053,-0.053,0.584,0.596,2.1.2
DHHelitron_1_39_mnt,0.393,0.666,0.595,0.629,0.665,0.665,0.288,0.397,-0.017,-0.017,0.625,0.64,2.1.2
DHHelitron_1_40_mnt,0.353,0.617,0.611,0.617,0.616,0.616,0.263,0.357,-0.013,-0.013,0.612,0.626,2.1.2
DHHelitron_1_41_mnt,0.374,0.636,0.658,0.655,0.635,0.635,0.287,0.378,0.01,0.01,0.651,0.665,2.1.2
DHHelitron_1_42_mnt,0.211,0.455,0.675,0.587,0.453,0.453,0.133,0.213,0.004,0.004,0.583,0.591,2.1.2
DHHelitron_1_43_mnt,0.461,0.78,0.698,0.747,0.779,0.779,0.388,0.468,0.046,0.046,0.742,0.761,2.1.2
DHHelitron_1_44_mnt,0.344,0.599,0.575,0.605,0.597,0.597,0.213,0.347,-0.016,-0.016,0.601,0.615,2.1.2
DHHelitron_1_45_mnt,0.231,0.482,0.607,0.539,0.48,0.48,0.159,0.233,-0.028,-0.028,0.535,0.545,2.1.2
DHHelitron_1_46_mnt,0.434,0.791,0.82,0.835,0.789,0.789,0.372,0.44,0.073,0.073,0.829,0.846,2.1.2
DHHelitron_1_47_mnt,0.426,0.678,0.586,0.63,0.676,0.676,0.329,0.431,-0.025,-0.025,0.626,0.641,2.1.2
DHHelitron_1_48_mnt,0.495,0.761,0.583,0.673,0.76,0.76,0.387,0.501,-0.01,-0.01,0.669,0.687,2.1.2
DHHelitron_1_49_mnt,0.29,0.531,0.6,0.586,0.53,0.53,0.153,0.293,-0.004,-0.004,0.583,0.595,2.1.2
DHHelitron_1_50_mnt,0.4,0.686,0.65,0.67,0.684,0.684,0.319,0.405,-0.006,-0.006,0.666,0.682,2.1.2
DHHelitron_1_51_mnt,0.43,0.712,0.681,0.697,0.71,0.71,0.264,0.434,0.045,0.045,0.693,0.708,2.1.2
DHHelitron_1_52_mnt,0.309,0.587,0.689,0.658,0.586,0.586,0.233,0.313,0.013,0.013,0.653,0.665,2.1.2
DHHelitron_1_53_mnt,0.448,0.756,0.661,0.748,0.754,0.754,0.405,0.454,0.035,0.035,0.744,0.762,2.1.2
DHHelitron_1_54_mnt,0.372,0.645,0.646,0.675,0.644,0.644,0.214,0.376,0.019,0.019,0.671,0.686,2.1.2
DHHelitron_1_55_mnt,0.426,0.715,0.71,0.746,0.713,0.713,0.251,0.431,0.008,0.008,0.742,0.757,2.1.2
DHHelitron_1_56_mnt,0.388,0.671,0.632,0.655,0.67,0.67,0.286,0.393,0.002,0.002,0.651,0.666,2.1.2
DHHelitron_1_57_mnt,0.345,0.598,0.585,0.604,0.596,0.596,0.233,0.348,-0.02,-0.02,0.6,0.613,2.1.2
DHHelitron_1_58_mnt,0.328,0.611,0.725,0.672,0.61,0.61,0.277,0.331,0.023,0.023,0.668,0.681,2.1.2
DHHelitron_1_59_mnt,0.424,0.724,0.662,0.694,0.723,0.723,0.345,0.429,0.014,0.014,0.689,0.706,2.1.2
DHHelitron_1_60_mnt,0.202,0.449,0.727,0.573,0.448,0.448,0.182,0.204,0.014,0.014,0.57,0.576,2.1.2
DHHelitron_1_61_mnt,0.386,0.663,0.614,0.655,0.661,0.661,0.332,0.39,-0.0,-0.0,0.65,0.666,2.1.2
DHHelitron_1_62_mnt,0.324,0.632,0.764,0.701,0.629,0.629,0.327,0.329,0.047,0.047,0.695,0.709,2.1.2
DHHelitron_1_63_mnt,0.422,0.701,0.698,0.707,0.7,0.7,0.292,0.427,0.049,0.049,0.704,0.719,2.1.2
DHHelitron_1_64_mnt,0.34,0.627,0.696,0.649,0.625,0.625,0.235,0.344,0.007,0.007,0.644,0.657,2.1.2
DHHelitron_1_65_mnt,0.48,0.746,0.62,0.691,0.745,0.745,0.369,0.485,0.009,0.009,0.687,0.705,2.1.2
DHHelitron_1_66_mnt,0.403,0.641,0.647,0.672,0.64,0.64,0.323,0.406,0.006,0.006,0.669,0.684,2.1.2
DHHelitron_1_67_mnt,0.498,0.743,0.629,0.698,0.742,0.742,0.369,0.503,0.016,0.016,0.693,0.711,2.1.2
DHHelitron_1_68_mnt,0.393,0.66,0.623,0.648,0.659,0.659,0.231,0.397,-0.005,-0.005,0.644,0.659,2.1.2
DHHelitron_1_69_mnt,0.459,0.766,0.648,0.718,0.765,0.765,0.41,0.465,0.015,0.015,0.713,0.731,2.1.2
DHHelitron_1_70_mnt,0.523,0.843,0.693,0.776,0.842,0.842,0.51,0.531,0.048,0.048,0.771,0.79,2.1.2
DHHelitron_1_71_mnt,0.405,0.66,0.683,0.655,0.659,0.659,0.27,0.408,0.037,0.037,0.651,0.667,2.1.2
DHHelitron_1_72_mnt,0.502,0.77,0.586,0.662,0.769,0.769,0.428,0.509,0.013,0.013,0.658,0.676,2.1.2
DHHelitron_1_73_mnt,0.29,0.523,0.596,0.562,0.522,0.522,0.173,0.292,-0.035,-0.035,0.558,0.569,2.1.2
DHHelitron_1_74_mnt,0.44,0.724,0.622,0.679,0.723,0.723,0.372,0.445,0.013,0.013,0.675,0.691,2.1.2
DHHelitron_1_75_mnt,0.394,0.691,0.72,0.725,0.69,0.69,0.298,0.399,0.045,0.045,0.721,0.736,2.1.2
DHHelitron_1_76_mnt,0.308,0.548,0.622,0.588,0.546,0.546,0.187,0.311,-0.013,-0.013,0.584,0.595,2.1.2
DHHelitron_1_77_mnt,0.289,0.573,0.744,0.694,0.572,0.572,0.251,0.293,0.059,0.059,0.69,0.7,2.1.2
DHHelitron_1_78_mnt,0.46,0.763,0.669,0.72,0.762,0.762,0.405,0.466,0.033,0.033,0.715,0.733,2.1.2
DHHelitron_1_79_mnt,0.493,0.671,0.542,0.592,0.67,0.67,0.306,0.496,0.008,0.008,0.589,0.605,2.1.2
DHHelitron_1_80_mnt,0.336,0.605,0.657,0.645,0.603,0.603,0.251,0.339,0.001,0.001,0.641,0.654,2.1.2
DHHelitron_1_81_mnt,0.292,0.58,0.67,0.657,0.579,0.579,0.167,0.296,-0.001,-0.001,0.654,0.667,2.1.2
DHHelitron_1_82_mnt,0.396,0.633,0.713,0.678,0.632,0.632,0.262,0.398,0.042,0.042,0.675,0.689,2.1.2
DHHelitron_1_83_mnt,0.403,0.693,0.698,0.719,0.692,0.692,0.341,0.407,0.035,0.035,0.715,0.73,2.1.2
DHHelitron_1_84_mnt,0.365,0.651,0.6,0.644,0.649,0.649,0.27,0.37,-0.018,-0.018,0.639,0.655,2.1.2
DHHelitron_1_85_mnt,0.359,0.637,0.661,0.661,0.635,0.635,0.268,0.363,0.012,0.012,0.657,0.671,2.1.2
DHHelitron_1_86_mnt,0.49,0.71,0.532,0.606,0.71,0.71,0.265,0.495,-0.008,-0.008,0.602,0.619,2.1.2
DHHelitron_1_87_mnt,0.451,0.704,0.562,0.634,0.702,0.702,0.315,0.456,0.011,0.011,0.63,0.647,2.1.2
DHHelitron_1_88_mnt,0.495,0.808,0.62,0.726,0.807,0.807,0.456,0.503,0.004,0.004,0.721,0.741,2.1.2
DHHelitron_1_89_mnt,0.412,0.691,0.634,0.67,0.69,0.69,0.301,0.417,0.017,0.017,0.666,0.682,2.1.2
DHHelitron_1_90_mnt,0.533,0.835,0.626,0.725,0.834,0.834,0.471,0.54,0.015,0.015,0.72,0.74,2.1.2
DHHelitron_1_91_mnt,0.355,0.63,0.649,0.657,0.628,0.628,0.254,0.36,0.0,0.0,0.652,0.666,2.1.2
DHHelitron_1_92_mnt,0.27,0.528,0.678,0.627,0.526,0.526,0.159,0.273,0.014,0.014,0.623,0.635,2.1.2
DHHelitron_1_93_mnt,0.361,0.625,0.622,0.639,0.623,0.623,0.284,0.365,-0.005,-0.005,0.635,0.649,2.1.2
DHHelitron_1_94_mnt,0.449,0.717,0.634,0.677,0.716,0.716,0.353,0.454,0.015,0.015,0.673,0.69,2.1.2
DHHelitron_1_95_mnt,0.41,0.609,0.551,0.582,0.607,0.607,0.221,0.412,0.014,0.014,0.578,0.592,2.1.2
DHHelitron_1_96_mnt,0.369,0.648,0.656,0.666,0.646,0.646,0.267,0.373,0.012,0.012,0.662,0.676,2.1.2
DHHelitron_1_97_mnt,0.322,0.574,0.707,0.651,0.572,0.572,0.188,0.324,0.047,0.047,0.647,0.66,2.1.2
DHHelitron_1_98_mnt,0.238,0.485,0.634,0.556,0.484,0.484,0.087,0.24,-0.026,-0.026,0.551,0.561,2.1.2
DHHelitron_1_99_mnt,0.317,0.601,0.711,0.671,0.599,0.599,0.24,0.32,0.017,0.017,0.667,0.679,2.1.2
DHHelitron_1_100_mnt,0.363,0.614,0.629,0.644,0.613,0.613,0.24,0.367,-0.004,-0.004,0.641,0.654,2.1.2
DHHelitron_1_101_mnt,0.432,0.728,0.707,0.716,0.727,0.727,0.332,0.437,0.031,0.031,0.711,0.728,2.1.2
DHHelitron_1_102_mnt,0.44,0.645,0.486,0.569,0.644,0.644,0.341,0.442,-0.018,-0.018,0.566,0.582,2.1.2
DHHelitron_1_103_mnt,0.5,0.745,0.587,0.656,0.744,0.744,0.397,0.505,-0.023,-0.023,0.652,0.668,2.1.2
DHHelitron_1_104_mnt,0.377,0.661,0.662,0.67,0.659,0.659,0.282,0.381,0.01,0.01,0.666,0.681,2.1.2
DHHelitron_1_105_mnt,0.419,0.698,0.553,0.641,0.697,0.697,0.338,0.425,-0.019,-0.019,0.636,0.653,2.1.2
DHHelitron_1_106_mnt,0.341,0.63,0.623,0.679,0.628,0.628,0.348,0.346,0.017,0.017,0.675,0.69,2.1.2
DHHelitron_1_107_mnt,0.357,0.622,0.661,0.639,0.62,0.62,0.214,0.361,0.011,0.011,0.634,0.647,2.1.2
DHHelitron_1_108_mnt,0.266,0.438,0.54,0.505,0.438,0.438,0.105,0.265,-0.041,-0.041,0.501,0.511,2.1.2
DHHelitron_1_109_mnt,0.306,0.587,0.659,0.648,0.586,0.586,0.22,0.31,-0.009,-0.009,0.644,0.657,2.1.2
DHHelitron_1_110_mnt,0.411,0.664,0.566,0.619,0.664,0.664,0.266,0.415,-0.022,-0.022,0.616,0.631,2.1.2
DHHelitron_1_111_mnt,0.354,0.641,0.646,0.648,0.639,0.639,0.236,0.358,-0.001,-0.001,0.643,0.657,2.1.2
DHHelitron_1_112_mnt,0.357,0.615,0.618,0.625,0.614,0.614,0.258,0.362,0.006,0.006,0.62,0.633,2.1.2
DHHelitron_1_113_mnt,0.482,0.707,0.541,0.629,0.706,0.706,0.336,0.486,0.005,0.005,0.626,0.644,2.1.2
DHHelitron_1_114_mnt,0.444,0.738,0.649,0.697,0.737,0.737,0.376,0.449,0.014,0.014,0.693,0.709,2.1.2
DHHelitron_1_115_mnt,0.454,0.741,0.598,0.677,0.74,0.74,0.347,0.46,0.006,0.006,0.672,0.69,2.1.2
DHHelitron_1_116_mnt,0.428,0.699,0.651,0.683,0.698,0.698,0.279,0.432,0.016,0.016,0.679,0.694,2.1.2
DHHelitron_1_117_mnt,0.449,0.673,0.553,0.634,0.672,0.672,0.325,0.452,-0.006,-0.006,0.632,0.648,2.1.2
DHHelitron_1_118_mnt,0.405,0.648,0.635,0.64,0.647,0.647,0.268,0.41,-0.009,-0.009,0.636,0.651,2.1.2
DHHelitron_1_119_mnt,0.335,0.629,0.732,0.694,0.628,0.628,0.285,0.338,0.036,0.036,0.689,0.704,2.1.2
DHHelitron_1_120_mnt,0.34,0.588,0.592,0.592,0.587,0.587,0.227,0.344,-0.033,-0.033,0.588,0.6,2.1.2
DHHelitron_1_121_mnt,0.438,0.711,0.616,0.657,0.71,0.71,0.362,0.443,0.018,0.018,0.653,0.669,2.1.2
