id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,classification
DTCMC_1_1_mnt,0.103,0.051,0.065,0.094,0.065,0.027,0.024,0.04,0.079,0.031,0.044,0.059,0.066,0.046,0.08,0.101,0.0107,0.0082,0.0079,2.1.1.2
DTCMC_2_1_mnt,0.105,0.045,0.059,0.084,0.051,0.029,0.036,0.041,0.077,0.036,0.05,0.067,0.061,0.047,0.086,0.102,0.0104,0.008,0.0081,2.1.1.2
DTMuLE_1_1_mnt,0.091,0.055,0.068,0.078,0.055,0.05,0.021,0.05,0.083,0.031,0.052,0.063,0.065,0.039,0.088,0.083,0.0103,0.0086,0.0079,2.1.1.4
DTMuLE_2_1_mnt,0.104,0.075,0.061,0.068,0.077,0.034,0.036,0.056,0.071,0.042,0.058,0.048,0.056,0.053,0.063,0.074,0.0101,0.0078,0.0078,2.1.1.4
DTMuLE_3_1_mnt,0.084,0.069,0.059,0.067,0.079,0.04,0.035,0.056,0.064,0.044,0.059,0.055,0.052,0.057,0.07,0.085,0.0102,0.0078,0.0076,2.1.1.4
DTMuLE_4_1_mnt,0.099,0.069,0.046,0.109,0.086,0.033,0.016,0.049,0.043,0.023,0.02,0.066,0.099,0.059,0.066,0.086,0.0128,0.0083,0.0103,2.1.1.4
DTMuLE_5_1_mnt,0.103,0.046,0.065,0.093,0.054,0.029,0.019,0.054,0.066,0.032,0.04,0.053,0.084,0.049,0.067,0.118,0.0107,0.0085,0.0084,2.1.1.4
DTPIF-Harbinger_1_1_mnt,0.106,0.037,0.069,0.106,0.081,0.044,0.006,0.056,0.069,0.037,0.012,0.044,0.062,0.062,0.075,0.106,0.0103,0.0078,0.0083,2.1.1.7
DTPIF-Harbinger_2_1_mnt,0.121,0.049,0.075,0.085,0.055,0.023,0.023,0.048,0.07,0.033,0.045,0.057,0.084,0.043,0.063,0.097,0.0107,0.0085,0.0084,2.1.1.7
DTPIF-Harbinger_3_1_mnt,0.08,0.057,0.05,0.108,0.077,0.028,0.019,0.056,0.065,0.043,0.043,0.046,0.073,0.053,0.083,0.092,0.0113,0.0084,0.0088,2.1.1.7
DTPIF-Harbinger_4_1_mnt,0.082,0.046,0.068,0.098,0.051,0.021,0.023,0.043,0.077,0.032,0.046,0.071,0.085,0.037,0.091,0.1,0.0116,0.0086,0.0089,2.1.1.7
DTPIF-Harbinger_5_1_mnt,0.082,0.059,0.058,0.087,0.065,0.031,0.039,0.04,0.069,0.04,0.055,0.06,0.069,0.044,0.073,0.104,0.011,0.0083,0.0085,2.1.1.7
DTPIF-Harbinger_6_1_mnt,0.112,0.045,0.069,0.09,0.057,0.012,0.012,0.039,0.087,0.021,0.048,0.069,0.06,0.039,0.096,0.115,0.0102,0.0083,0.008,2.1.1.7
DTPIF-Harbinger_7_1_mnt,0.101,0.052,0.052,0.1,0.084,0.033,0.009,0.067,0.043,0.042,0.023,0.044,0.077,0.066,0.068,0.11,0.011,0.0082,0.0084,2.1.1.7
