id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,classification
Euro_eel_AZBK01S000105.1_504209,0.116,0.054,0.074,0.091,0.077,0.032,0.011,0.053,0.065,0.037,0.048,0.048,0.076,0.05,0.065,0.078,0.0106,0.0082,0.0081,1.2.1
Euro_eel_AZBK01S000145.1_16703,0.137,0.063,0.067,0.087,0.067,0.042,0.018,0.052,0.071,0.032,0.052,0.036,0.079,0.042,0.054,0.072,0.0104,0.0083,0.0083,1.2.6
Euro_eel_AZBK01S000462.1_32663,0.101,0.053,0.054,0.096,0.068,0.043,0.017,0.06,0.055,0.033,0.047,0.046,0.081,0.058,0.063,0.099,0.0107,0.0085,0.0083,1.2.6
Euro_eel_AZBK01S000523.1_319568,0.099,0.059,0.077,0.069,0.082,0.043,0.021,0.057,0.065,0.051,0.049,0.055,0.058,0.051,0.073,0.064,0.0101,0.0079,0.0079,1.2.16
Euro_eel_AZBK01S000598.1_180470,0.093,0.056,0.072,0.077,0.081,0.05,0.01,0.06,0.06,0.046,0.058,0.05,0.063,0.049,0.075,0.074,0.0102,0.0079,0.0079,1.2.8
Euro_eel_AZBK01S000696.1_309560,0.107,0.031,0.081,0.079,0.05,0.029,0.017,0.047,0.076,0.036,0.072,0.064,0.065,0.046,0.078,0.097,0.0097,0.0078,0.0077,1.2.4
Euro_eel_AZBK01S001027.1_137525,0.085,0.049,0.059,0.079,0.067,0.05,0.013,0.072,0.057,0.041,0.051,0.051,0.063,0.061,0.078,0.099,0.01,0.008,0.0078,1.2.6
Euro_eel_AZBK01S001075.1_112808,0.101,0.054,0.055,0.084,0.069,0.04,0.014,0.066,0.051,0.037,0.039,0.054,0.074,0.058,0.073,0.105,0.0106,0.0083,0.0084,1.2.1
Euro_eel_AZBK01S001103.1_14138,0.122,0.065,0.065,0.079,0.081,0.046,0.016,0.053,0.063,0.036,0.041,0.044,0.065,0.05,0.061,0.089,0.0101,0.0077,0.0081,1.2.8
Euro_eel_AZBK01S001250.1_7001,0.097,0.054,0.049,0.089,0.069,0.054,0.016,0.07,0.045,0.036,0.037,0.045,0.079,0.065,0.06,0.108,0.0105,0.0084,0.0084,1.2.6
Euro_eel_AZBK01S001252.1_12299,0.132,0.052,0.056,0.097,0.071,0.029,0.016,0.051,0.06,0.035,0.041,0.042,0.075,0.05,0.065,0.1,0.0106,0.0082,0.0083,1.2.6
Euro_eel_AZBK01S001482.1_57293,0.105,0.054,0.077,0.082,0.07,0.032,0.01,0.051,0.063,0.039,0.054,0.057,0.08,0.038,0.072,0.087,0.0108,0.0084,0.0083,1.2.1
Euro_eel_AZBK01S001577.1_97718,0.078,0.055,0.092,0.044,0.072,0.069,0.026,0.068,0.083,0.055,0.078,0.049,0.037,0.056,0.068,0.048,0.0085,0.0069,0.0067,1.2.8
Euro_eel_AZBK01S001941.1_45383,0.11,0.053,0.074,0.081,0.069,0.034,0.015,0.049,0.074,0.038,0.059,0.052,0.066,0.043,0.074,0.084,0.0102,0.008,0.0079,1.2.6
Euro_eel_AZBK01S001954.1_48959,0.092,0.073,0.065,0.065,0.088,0.051,0.019,0.065,0.064,0.05,0.054,0.046,0.05,0.049,0.076,0.067,0.0099,0.0078,0.0075,1.2.9
Euro_eel_AZBK01S002071.1_54704,0.077,0.067,0.061,0.074,0.084,0.052,0.02,0.065,0.058,0.045,0.047,0.048,0.061,0.056,0.07,0.091,0.0103,0.008,0.0079,1.2.9
Euro_eel_AZBK01S002124.1_57830,0.11,0.055,0.055,0.085,0.07,0.037,0.027,0.056,0.051,0.041,0.038,0.053,0.073,0.057,0.064,0.102,0.0107,0.0082,0.0083,1.2.6
Euro_eel_AZBK01S002198.1_6131,0.129,0.067,0.073,0.078,0.07,0.042,0.018,0.054,0.073,0.032,0.047,0.04,0.075,0.043,0.054,0.078,0.0102,0.0082,0.0081,1.2.6
Euro_eel_AZBK01S002313.1_15857,0.134,0.062,0.063,0.096,0.067,0.033,0.011,0.053,0.065,0.028,0.045,0.043,0.089,0.041,0.061,0.081,0.011,0.0085,0.0087,1.2.6
Euro_eel_AZBK01S002498.1_17651,0.137,0.052,0.049,0.096,0.061,0.03,0.017,0.056,0.058,0.028,0.039,0.044,0.08,0.053,0.063,0.11,0.0105,0.0085,0.0083,1.2.6
Euro_eel_AZBK01S002534.1_28577,0.104,0.049,0.065,0.085,0.066,0.045,0.018,0.059,0.063,0.042,0.05,0.045,0.071,0.052,0.066,0.094,0.0102,0.0082,0.0079,1.2.6
Euro_eel_AZBK01S002546.1_36053,0.076,0.064,0.052,0.073,0.077,0.068,0.013,0.086,0.049,0.042,0.035,0.047,0.063,0.071,0.072,0.086,0.0101,0.0078,0.0078,1.2.7
Euro_eel_AZBK01S002741.1_28457,0.113,0.054,0.059,0.09,0.068,0.033,0.014,0.057,0.06,0.034,0.039,0.05,0.075,0.051,0.071,0.103,0.0106,0.0084,0.0082,1.2.6
Euro_eel_AZBK01S003200.1_11669,0.119,0.054,0.071,0.089,0.067,0.033,0.013,0.054,0.077,0.037,0.054,0.041,0.069,0.044,0.07,0.083,0.0102,0.008,0.0081,1.2.6
Euro_eel_AZBK01S003309.1_43664,0.102,0.063,0.058,0.077,0.074,0.051,0.017,0.072,0.062,0.042,0.039,0.042,0.063,0.058,0.071,0.085,0.01,0.0081,0.0078,1.2.7
Euro_eel_AZBK01S003309.1_48887,0.126,0.049,0.069,0.093,0.062,0.027,0.013,0.045,0.071,0.036,0.047,0.053,0.078,0.035,0.078,0.091,0.0108,0.0085,0.0085,1.2.7
Euro_eel_AZBK01S003506.1_50489,0.066,0.041,0.071,0.062,0.057,0.033,0.023,0.063,0.062,0.047,0.086,0.069,0.055,0.055,0.083,0.101,0.0096,0.0074,0.0076,1.2.6
Euro_eel_AZBK01S003517.1_23267,0.095,0.055,0.059,0.079,0.07,0.053,0.019,0.063,0.057,0.04,0.042,0.049,0.067,0.057,0.067,0.101,0.0101,0.0081,0.008,1.2.6
Euro_eel_AZBK01S003552.1_50363,0.097,0.056,0.065,0.082,0.073,0.04,0.019,0.061,0.057,0.046,0.046,0.053,0.074,0.051,0.072,0.082,0.0107,0.0086,0.008,1.2.8
Euro_eel_AZBK01S003570.1_6110,0.099,0.062,0.061,0.083,0.072,0.051,0.019,0.065,0.063,0.035,0.049,0.041,0.07,0.058,0.06,0.088,0.0102,0.008,0.0081,1.2.6
