id,1,2,3,4,5,6,7,8,9,10,11,12,classification
Euro_eel_AZBK01S000105.1_504209,0.269,0.528,0.583,0.563,0.526,0.526,0.186,0.272,-0.055,-0.055,0.558,0.569,1.2.1
Euro_eel_AZBK01S000145.1_16703,0.247,0.497,0.679,0.576,0.495,0.495,0.177,0.249,0.013,0.013,0.571,0.582,1.2.6
Euro_eel_AZBK01S000462.1_32663,0.253,0.511,0.669,0.591,0.51,0.51,0.163,0.255,0.003,0.003,0.587,0.599,1.2.6
Euro_eel_AZBK01S000523.1_319568,0.191,0.419,0.564,0.494,0.418,0.418,0.112,0.193,-0.084,-0.084,0.49,0.497,1.2.16
Euro_eel_AZBK01S000598.1_180470,0.192,0.441,0.618,0.541,0.439,0.439,0.109,0.193,-0.057,-0.057,0.537,0.545,1.2.8
Euro_eel_AZBK01S000696.1_309560,0.258,0.506,0.643,0.564,0.504,0.504,0.159,0.26,-0.01,-0.01,0.56,0.57,1.2.4
Euro_eel_AZBK01S001027.1_137525,0.203,0.464,0.62,0.559,0.462,0.462,0.118,0.205,-0.045,-0.045,0.554,0.563,1.2.6
Euro_eel_AZBK01S001075.1_112808,0.259,0.514,0.596,0.564,0.512,0.512,0.165,0.261,-0.043,-0.043,0.56,0.571,1.2.1
Euro_eel_AZBK01S001103.1_14138,0.301,0.582,0.644,0.617,0.58,0.58,0.228,0.305,-0.038,-0.038,0.612,0.625,1.2.8
Euro_eel_AZBK01S001250.1_7001,0.263,0.529,0.677,0.612,0.528,0.528,0.186,0.266,0.004,0.004,0.607,0.619,1.2.6
Euro_eel_AZBK01S001252.1_12299,0.351,0.644,0.629,0.65,0.643,0.643,0.275,0.356,-0.005,-0.005,0.645,0.66,1.2.6
Euro_eel_AZBK01S001482.1_57293,0.211,0.459,0.587,0.526,0.457,0.457,0.099,0.213,-0.043,-0.043,0.521,0.531,1.2.1
Euro_eel_AZBK01S001577.1_97718,0.078,0.27,0.526,0.377,0.269,0.269,0.07,0.078,-0.112,-0.112,0.373,0.375,1.2.8
Euro_eel_AZBK01S001941.1_45383,0.255,0.522,0.615,0.559,0.521,0.521,0.166,0.257,-0.038,-0.038,0.554,0.565,1.2.6
Euro_eel_AZBK01S001954.1_48959,0.176,0.437,0.582,0.507,0.436,0.436,0.152,0.178,-0.089,-0.089,0.502,0.51,1.2.9
Euro_eel_AZBK01S002071.1_54704,0.216,0.472,0.63,0.543,0.471,0.471,0.121,0.219,-0.063,-0.063,0.539,0.548,1.2.9
Euro_eel_AZBK01S002124.1_57830,0.315,0.573,0.64,0.606,0.572,0.572,0.2,0.318,-0.001,-0.001,0.601,0.614,1.2.6
Euro_eel_AZBK01S002198.1_6131,0.246,0.503,0.632,0.557,0.501,0.501,0.191,0.249,-0.028,-0.028,0.552,0.563,1.2.6
Euro_eel_AZBK01S002313.1_15857,0.295,0.522,0.612,0.551,0.521,0.521,0.192,0.296,-0.02,-0.02,0.547,0.559,1.2.6
Euro_eel_AZBK01S002498.1_17651,0.364,0.657,0.616,0.641,0.655,0.655,0.281,0.369,0.003,0.003,0.636,0.652,1.2.6
Euro_eel_AZBK01S002534.1_28577,0.278,0.541,0.674,0.601,0.539,0.539,0.193,0.281,0.003,0.003,0.596,0.607,1.2.6
Euro_eel_AZBK01S002546.1_36053,0.19,0.434,0.582,0.506,0.433,0.433,0.113,0.192,-0.085,-0.085,0.501,0.51,1.2.7
Euro_eel_AZBK01S002741.1_28457,0.29,0.556,0.596,0.596,0.555,0.555,0.164,0.292,-0.04,-0.04,0.592,0.604,1.2.6
Euro_eel_AZBK01S003200.1_11669,0.255,0.508,0.601,0.559,0.507,0.507,0.161,0.258,-0.033,-0.033,0.554,0.565,1.2.6
Euro_eel_AZBK01S003309.1_43664,0.239,0.497,0.604,0.56,0.495,0.495,0.145,0.242,-0.06,-0.06,0.556,0.565,1.2.7
Euro_eel_AZBK01S003309.1_48887,0.272,0.545,0.59,0.589,0.544,0.544,0.162,0.275,-0.023,-0.023,0.585,0.597,1.2.7
Euro_eel_AZBK01S003506.1_50489,0.226,0.47,0.65,0.53,0.468,0.468,0.167,0.228,-0.039,-0.039,0.525,0.534,1.2.6
Euro_eel_AZBK01S003517.1_23267,0.253,0.515,0.652,0.586,0.513,0.513,0.18,0.256,-0.016,-0.016,0.581,0.592,1.2.6
Euro_eel_AZBK01S003552.1_50363,0.211,0.49,0.643,0.584,0.489,0.489,0.15,0.213,-0.037,-0.037,0.58,0.59,1.2.8
Euro_eel_AZBK01S003570.1_6110,0.234,0.469,0.641,0.551,0.468,0.468,0.171,0.236,-0.022,-0.022,0.547,0.556,1.2.6
Euro_eel_AZBK01S004031.1_31232,0.127,0.39,0.716,0.524,0.389,0.389,0.105,0.129,0.006,0.006,0.519,0.524,1.2.6
Euro_eel_AZBK01S004084.1_13028,0.108,0.332,0.539,0.436,0.331,0.331,0.102,0.109,-0.105,-0.105,0.431,0.435,1.2.8
Euro_eel_AZBK01S004096.1_26888,0.113,0.35,0.521,0.453,0.348,0.348,0.103,0.114,-0.106,-0.106,0.448,0.453,1.2.8
Euro_eel_AZBK01S004362.1_26048,0.258,0.513,0.596,0.583,0.511,0.511,0.152,0.26,-0.037,-0.037,0.578,0.589,1.2.7
