attr2888,attr2889,attr2890,attr2891,attr2892,attr2893,attr2894,attr2895,attr2896,attr2897,attr2898,attr2899,id,classification
-0.325,0.179,0.435,0.718,0.591,0.433,0.433,0.195,0.18,0.074,0.074,0.586,BS4_DM,1.2.5
-0.28,0.11,0.313,0.561,0.43,0.312,0.312,0.124,0.111,-0.067,-0.067,0.426,G_DM,1.2.5
-0.39,0.23,0.42,0.487,0.49,0.419,0.419,0.191,0.23,-0.069,-0.069,0.487,Hebe_Av,1.2.5
-0.325,0.155,0.392,0.586,0.507,0.391,0.391,0.173,0.156,-0.038,-0.038,0.504,HELENA,1.2.5
-0.356,0.19,0.393,0.648,0.511,0.392,0.392,0.124,0.189,-0.011,-0.011,0.509,HELENA_RT,1.2.5
-0.436,0.299,0.567,0.769,0.678,0.566,0.566,0.274,0.301,0.048,0.048,0.674,HeT-A2_DVi,1.2.5
-0.477,0.208,0.443,0.69,0.567,0.442,0.442,0.209,0.208,0.013,0.013,0.564,HeT-A3_DVi,1.2.5
-0.442,0.289,0.548,0.738,0.65,0.547,0.547,0.264,0.291,0.022,0.022,0.646,HET-A_DV,1.2.5
-0.325,0.285,0.629,0.842,0.754,0.628,0.628,0.309,0.29,0.083,0.083,0.749,HETA,1.2.5
-0.302,0.218,0.527,0.731,0.65,0.526,0.526,0.248,0.221,0.016,0.016,0.646,HETA_DSi,1.2.5
-0.377,0.235,0.519,0.7,0.619,0.518,0.518,0.244,0.238,0.031,0.031,0.614,IVK_DM,1.2.5
-0.319,0.175,0.414,0.625,0.535,0.413,0.413,0.15,0.176,-0.033,-0.033,0.531,Jockey,1.2.5
-0.331,0.17,0.4,0.583,0.511,0.399,0.399,0.164,0.172,-0.048,-0.048,0.507,Jockey-10_DAn,1.2.5
-0.325,0.229,0.5,0.659,0.601,0.499,0.499,0.247,0.232,0.013,0.013,0.597,Jockey-10_DBp,1.2.5
-0.334,0.245,0.462,0.564,0.538,0.46,0.46,0.166,0.247,-0.034,-0.034,0.534,Jockey-10_DEu,1.2.5
-0.29,0.196,0.449,0.601,0.544,0.448,0.448,0.186,0.198,-0.023,-0.023,0.54,Jockey-10_DF,1.2.5
-0.296,0.212,0.497,0.666,0.598,0.495,0.495,0.238,0.215,0.0,0.0,0.594,Jockey-10_DRh,1.2.5
-0.289,0.294,0.595,0.823,0.686,0.594,0.594,0.304,0.297,0.087,0.087,0.681,Jockey-10_DY,1.2.5
-0.278,0.134,0.377,0.664,0.528,0.376,0.376,0.135,0.135,-0.009,-0.009,0.524,Jockey-11B_DBp,1.2.5
-0.289,0.1,0.3,0.629,0.45,0.298,0.298,0.105,0.1,-0.011,-0.011,0.447,Jockey-11_AAe,1.2.5
